module_code,module_name,coordinator,year,semester,category,skill_name,level
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,lab,Good Laboratory Practices (GLP),3
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,lab,Maintaining Lab Notebooks,3
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,lab,Operating Lab Equipment,0
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,lab,Physical Chemical Analysis,0
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,lab,Pipetting,0
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,lab,Risk Assessments,0
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,lab,Sample Preparation and Handling,0
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,lab,Soil Quality Assessment,0
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,lab,Water Quality Assessment,0
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,personal,Adaptability,3
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,personal,Verbal Communication,0
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,personal,Written Communication,3
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,personal,Conflict Resolution,0
